Manufacturer,Color Number,Color Name,Locator,Red Value,Green Value,Blue Value,Hex
Sherwin Williams,SW1668,Pineapple Cream,138-C1,242,234,195,F2EAC3
Sherwin Williams,SW2704,Merlot,276-C7,81,50,59,51323B
Sherwin Williams,SW2735,Rockweed,252-C1,68,55,53,443735
Sherwin Williams,SW2739,Charcoal Blue,253-C4,61,68,80,3D4450
Sherwin Williams,SW2740,Mineral Gray,253-C5,81,87,99,515763
Sherwin Williams,SW2801,Rookwood Dark Red,N/A,75,41,41,4B2929
Sherwin Williams,SW2802,Rookwood Red,N/A,98,47,45,622F2D
Sherwin Williams,SW2803,Rookwood Terra Cotta,N/A,151,88,64,975840
Sherwin Williams,SW2804,Renwick Rose Beige,N/A,175,136,113,AF8871
Sherwin Williams,SW2805,Renwick Beige,N/A,195,176,157,C3B09D
Sherwin Williams,SW2806,Rookwood Brown,N/A,127,97,74,7F614A
Sherwin Williams,SW2807,"Rookwood Medium
Brown",N/A,110,82,65,6E5241
Sherwin Williams,SW2808,Rookwood Dark Brown,N/A,95,77,67,5F4D43
Sherwin Williams,SW2809,"Rookwood Shutter
Green",N/A,48,59,57,303B39
Sherwin Williams,SW2810,Rookwood Sash Green N/A,,80,106,103,506A67
Sherwin Williams,SW2811,Rookwood Blue Green,N/A,115,132,120,738478
Sherwin Williams,SW2812,Rookwood Jade,N/A,151,159,127,979F7F
Sherwin Williams,SW2813,Downing Straw,N/A,202,171,125,CAAB7D
Sherwin Williams,SW2814,"Rookwood Antique
Gold",N/A,165,130,88,A58258
Sherwin Williams,SW2815,Renwick Olive,N/A,151,137,106,97896A
Sherwin Williams,SW2816,Rookwood Dark Green,N/A,86,92,74,565C4A
Sherwin Williams,SW2817,Rookwood Amber,N/A,192,134,80,C08650
Sherwin Williams,SW2818,Renwick Heather,N/A,139,125,123,8B7D7B
Sherwin Williams,SW2819,Downing Slate,N/A,119,127,134,777F86
Sherwin Williams,SW2820,Downing Earth,N/A,136,123,103,887B67
Sherwin Williams,SW2821,Downing Stone,N/A,166,163,151,A6A397
Sherwin Williams,SW2822,Downing Sand,N/A,203,188,165,CBBCA5
Sherwin Williams,SW2823,Rookwood Clay,N/A,154,126,100,9A7E64
Sherwin Williams,SW2824,Renwick Golden Oak,N/A,150,114,76,96724C
Sherwin Williams,SW2826,"Colonial Revival Green
Stone",N/A,163,155,126,A39B7E
Sherwin Williams,SW2827,Colonial Revival Stone,N/A,167,148,124,A7947C
Sherwin Williams,SW2828,Colonial Revival Tan,N/A,211,182,153,D3B699
Sherwin Williams,SW2829,Classical White,N/A,236,225,203,ECE1CB
Sherwin Williams,SW2831,Classical Gold,N/A,235,184,117,EBB875
Sherwin Williams,SW2832,Colonial Revival Gray,N/A,180,185,185,B4B9B9
Sherwin Williams,SW2833,Roycroft Vellum,N/A,232,217,189,E8D9BD
Sherwin Williams,SW2834,Birdseye Maple,N/A,228,196,149,E4C495
Sherwin Williams,SW2835,Craftsman Brown,N/A,174,146,120,AE9278
Sherwin Williams,SW2836,Quartersawn Oak,N/A,133,105,91,85695B
Sherwin Williams,SW2837,Aurora Brown,N/A,106,66,56,6A4238
Sherwin Williams,SW2838,Polished Mahogany,N/A,67,39,34,432722
Sherwin Williams,SW2839,Roycroft Copper Red,N/A,123,55,40,7B3728
Sherwin Williams,SW2840,Hammered Silver,N/A,151,138,127,978A7F
Sherwin Williams,SW2841,Weathered Shingle,N/A,147,127,104,937F68
Sherwin Williams,SW2842,Roycroft Suede,N/A,167,148,115,A79473
Sherwin Williams,SW2843,Roycroft Brass,N/A,122,106,81,7A6A51
Sherwin Williams,SW2844,Roycroft Mist Gray,N/A,194,189,177,C2BDB1
Sherwin Williams,SW2845,Bunglehouse Gray,N/A,152,143,123,988F7B
Sherwin Williams,SW2846,Roycroft Bronze Green N/A,,87,84,73,575449
Sherwin Williams,SW2847,Roycroft Bottle Green,N/A,50,64,56,324038
Sherwin Williams,SW2848,Roycroft Pewter,N/A,97,101,100,616564
Sherwin Williams,SW2849,Westchester Gray,N/A,121,121,120,797978
Sherwin Williams,SW2850,Chelsea Gray,N/A,182,183,176,B6B7B0
Sherwin Williams,SW2851,Sage Green Light,N/A,115,112,94,73705E
Sherwin Williams,SW2853,New Colonial Yellow,N/A,217,173,127,D9AD7F
Sherwin Williams,SW2854,Caribbean Coral,N/A,190,121,94,BE795E
Sherwin Williams,SW2855,Sycamore Tan,N/A,156,138,121,9C8A79
Sherwin Williams,SW2856,Fairfax Brown,N/A,97,70,58,61463A
Sherwin Williams,SW2857,Peace Yellow,N/A,238,207,158,EECF9E
Sherwin Williams,SW2858,Harvest Gold,N/A,217,160,106,D9A06A
Sherwin Williams,SW2859,Beige,N/A,223,200,181,DFC8B5
Sherwin Williams,SW2860,Sage,N/A,179,174,149,B3AE95
Sherwin Williams,SW2861,Avocado,N/A,133,124,93,857C5D
Sherwin Williams,SW2863,Powder Blue,N/A,137,164,173,89A4AD
Sherwin Williams,SW2865,Classical Yellow,N/A,248,212,146,F8D492
Sherwin Williams,SW6000,Snowfall,273-C5,224,222,218,E0DEDA
Sherwin Williams,SW6001,Grayish,240-C1,207,202,199,CFCAC7
Sherwin Williams,SW6002,Essential Gray,240-C2,188,184,182,BCB8B6
Sherwin Williams,SW6003,Proper Gray,240-C3,173,168,165,ADA8A5
Sherwin Williams,SW6004,Mink,240-C5,132,123,119,847B77
Sherwin Williams,SW6005,Folkstone,240-C6,109,101,98,6D6562
Sherwin Williams,SW6006,Black Bean,252-C2,64,51,48,403330
Sherwin Williams,SW6007,Smart White,274-C5,228,219,216,E4DBD8
Sherwin Williams,SW6008,Individual White,231-C1,212,205,202,D4CDCA
